Nome / Razão Social;Vínculo com o RGP;Número no RGP;cidade;UF;Tipo de Pessoa
BEIRA *******************;Indústria de pesca;SCI00030755 ;Barra Velha,SC,Brasil;SC;Pessoa Jurídica
BEM *****************;Indústria de pesca;DFI00043596 ;Goianésia,GO,Brasil;DF;Pessoa Jurídica
BEM *****************;Indústria de pesca;GOI00044420 ;Brasília,DF,Brasil;GO;Pessoa Jurídica
BERNADETE *****;Indústria de pesca;SCI00039877 ;Blumenau,SC,Brasil;SC;Pessoa Jurídica
BERNARDO ******************************;Indústria de pesca;BAI00024354 ;Valença,BA,Brasil;BA;Pessoa Jurídica
BERNARDO ***************;Indústria de pesca;RNI00040796 ;Natal,RN,Brasil;RN;Pessoa Jurídica
BFP ****************************;Indústria de pesca;SCI00033469 ;Itajaí,SC,Brasil;SC;Pessoa Jurídica
BFP ****************************;Indústria de pesca;SCI00033469 ;Itajaí,SC,Brasil;SC;Pessoa Jurídica
BIBI ***********************************;Indústria de pesca;MSI00044356 ;Corumbá,MS,Brasil;MS;Pessoa Jurídica
Big **************************************************;Indústria de pesca;PRI00032847 ;Guaratuba,PR,Brasil;PR;Pessoa Jurídica
BIO ****************************;Indústria de pesca;AMI00041636 ;Iranduba,AM,Brasil;AM;Pessoa Jurídica
BIO *************************;Indústria de pesca;AMI00036537 ;Iranduba,AM,Brasil;AM;Pessoa Jurídica
BLANKE *************************;Indústria de pesca;PEI00016437 ;Recife,PE,Brasil;PE;Pessoa Jurídica
BOA *******************;Indústria de pesca;MGI00020468 ;Uberlândia,MG,Brasil;MG;Pessoa Jurídica
BOM *******************************;Indústria de pesca;SPI00031787 ;Piracicaba,SP,Brasil;SP;Pessoa Jurídica
BOM *******************************;Indústria de pesca;SPI00035637 ;Piracicaba,SP,Brasil;SP;Pessoa Jurídica
BOM *******************************;Indústria de pesca, Registro de aquicultor;GOI00031855,GOR11509710 ;Piracicaba,SP,Brasil;GO;Pessoa Jurídica
BOM ************;Indústria de pesca;API00040218 ;Macapá,AP,Brasil;AP;Pessoa Jurídica
BOMPREÇO ******************************;Indústria de pesca;PEI00035441 ;Cabo de Santo Agostinho,PE,Brasil;PE;Pessoa Jurídica
BOMPREÇO ******************************;Indústria de pesca;PEI00035459 ;Jaboatão dos Guararapes,PE,Brasil;PE;Pessoa Jurídica
BRAFISH **********************************************;Indústria de pesca;PAI00040070 ;Bragança,PA,Brasil;PA;Pessoa Jurídica
BRAFISH **********************************************;Indústria de pesca;PAI00040070 ;Bragança,PA,Brasil;PA;Pessoa Jurídica
BRASFISH **************************************;Indústria de pesca;SPI00036041 ;Santa Fé do Sul,SP,Brasil;SP;Pessoa Jurídica
BRASIL **************;Indústria de pesca;ESI00035807 ;Itapemirim,ES,Brasil;ES;Pessoa Jurídica
BRASILIANFISH ****;Indústria de pesca;PAI00042898 ;Belém,PA,Brasil;PA;Pessoa Jurídica
BRASIL ******************************************************;Indústria de pesca;SCI00033111 ;Itajaí,SC,Brasil;SC;Pessoa Jurídica
BRASIL ******************************************************;Indústria de pesca;SCI00033111 ;Itajaí,SC,Brasil;SC;Pessoa Jurídica
BRASPEIXE *************************************;Indústria de pesca;PAI00043368 ;Belém,PA,Brasil;PA;Pessoa Jurídica
BRASSETHE **************;Indústria de pesca;SCI00042324 ;Florianópolis,SC,Brasil;SC;Pessoa Jurídica
BRAZEX **************************;Indústria de pesca, Proprietário de embarcação;CEI00003114 ;Fortaleza,CE,Brasil;CE;Pessoa Jurídica
BRAZEX **************************;Indústria de pesca, Proprietário de embarcação;CEI00003114 ;Fortaleza,CE,Brasil;CE;Pessoa Jurídica
B ************************************;Indústria de pesca;RJI00042688 ;Rio de Janeiro,RJ,Brasil;RJ;Pessoa Jurídica
BRUDER **************;Indústria de pesca;SCI00039087 ;Urussanga,SC,Brasil;SC;Pessoa Jurídica
BRUMAR *****************************************;Indústria de pesca;SPI00035281 ;Barueri,SP,Brasil;SP;Pessoa Jurídica
BRUMAR *****************************************;Indústria de pesca;SPI00035281 ;Barueri,SP,Brasil;SP;Pessoa Jurídica
BRUNO *************************;Indústria de pesca;PRI00030687 ;Guaratuba,PR,Brasil;PR;Pessoa Jurídica
BSC *************;Indústria de pesca, Proprietário de embarcação;CEI00034649 ;Fortaleza,CE,Brasil;CE;Pessoa Jurídica
BSC *************;Indústria de pesca, Proprietário de embarcação;CEI00034649 ;Fortaleza,CE,Brasil;CE;Pessoa Jurídica
BTJ **********;Indústria de pesca;SPI00042770 ;Ilha Solteira,SP,Brasil;SP;Pessoa Jurídica
BY ***********************************;Indústria de pesca;SPI00033081 ;São Paulo,SP,Brasil;SP;Pessoa Jurídica
CABRAL ****************************;Indústria de pesca;PRI00034365 ;Guaratuba,PR,Brasil;PR;Pessoa Jurídica
CAIS **************************************************;Indústria de pesca;SCI00038871 ;Itajaí,SC,Brasil;SC;Pessoa Jurídica
CAJUCOCO ********************************;Indústria de pesca;CEI00032387 ;Itarema,CE,Brasil;CE;Pessoa Jurídica
CAJUCOCO ********************************;Indústria de pesca;CEI00032387 ;Itarema,CE,Brasil;CE;Pessoa Jurídica
CAJUCOCO ********************************;Indústria de pesca;CEI00032387 ;Itarema,CE,Brasil;CE;Pessoa Jurídica
CAJUCOCO ********************************;Indústria de pesca;CEI00032387 ;Itarema,CE,Brasil;CE;Pessoa Jurídica
CAJUCOCO ********************************;Indústria de pesca;CEI00032387 ;Itarema,CE,Brasil;CE;Pessoa Jurídica
CALJEVYS *******************************************************;Indústria de pesca;PAI00030169 ;Belém,PA,Brasil;PA;Pessoa Jurídica
Camanor ***************************************;Indústria de pesca, Licença de aquicultor;RNI00032887,RNU00000555 ;Canguaretama,RN,Brasil;RN;Pessoa Jurídica
CAMARÃO **********;Indústria de pesca;BAI00026004 ;Ilhéus,BA,Brasil;BA;Pessoa Jurídica
CAMIL *************;Indústria de pesca;SCI00012297 ;Navegantes,SC,Brasil;SC;Pessoa Jurídica
CAMIL *************;Indústria de pesca;SCI00012297 ;Navegantes,SC,Brasil;SC;Pessoa Jurídica
Campasa ********************;Indústria de pesca;PAI00016647 ;Curuçá,PA,Brasil;PA;Pessoa Jurídica
CANAA *************************************;Indústria de pesca;SCI00027226 ;Itajaí,SC,Brasil;SC;Pessoa Jurídica
C. ******************;Indústria de pesca;BAI00030095 ;Alcobaça,BA,Brasil;BA;Pessoa Jurídica
CANELLAS **********************;Indústria de pesca;SCI00035557 ;Florianópolis,SC,Brasil;SC;Pessoa Jurídica
CARAPITANGA *******************************;Indústria de pesca;PEI00036485 ;Jaboatão dos Guararapes,PE,Brasil;PE;Pessoa Jurídica
CARDOSO *****************************************;Indústria de pesca;PAI00043438 ;Vigia,PA,Brasil;PA;Pessoa Jurídica
CARLAO ***********************************************;Indústria de pesca;RJI00043738 ;Rio de Janeiro,RJ,Brasil;RJ;Pessoa Jurídica
CARLOS ***********************************;Indústria de pesca;PAI00041948 ;Belém,PA,Brasil;PA;Pessoa Jurídica
CARREFOUR *************************;Indústria de pesca;SPI00033067 ;Itapevi,SP,Brasil;SP;Pessoa Jurídica
CARREFOUR *************************;Indústria de pesca;SPI00033031 ;Osasco,SP,Brasil;SP;Pessoa Jurídica
